Sprint Planning;;;;;;;;;;;;;;;;;;;;;
Todos los días inician con un Daily de 15 mins en el cual se comparte el progreso y los obstáculos, adempas de revisar y ajustar la planificación;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Sprint 1 (24 de agosto del 2025 - 21 de septiembre del 2025);;;;;;;;;Sprint 2 (21 de septiembre del 2025 - 19 de octubre del 2025);;;;;;;;Sprint 3 (20 de octubre del 2025 - 16 de noviembre del 2025);;;;
;;;;;;;;;;;;;;;;;;;;;
Semana 1 (24/08/2025 - 30/08/2025);;;;;;;;;Semana 1 (21/09/2025 - 27/09/2025);;;;;;;;Semana 1 (20/10/2025 - 26/10/2025);;;;
;;;;;;;;;;;;;;;;;;;;;
Fecha;Claudio Sánchez;;Italo Brignardello;;;;;;Fecha;Claudio Sánchez;;Italo Brignardello;;;;;Fecha;Claudio Sánchez;;Italo Brignardello;
24-08-2025;Coordinación con cliente, Revisión de requerimientos;Revisión de requerimientos, Preparación de pruebas;Configuración de servidores;Configuración de entorno de desarrollo;;;;;21-09-2025;Coordinación con cliente, Revisión de requerimientos;Preparación de pruebas;Configuración de servidores;Configuración de entorno de desarrollo;;;;20-10-2025;Coordinación con cliente, Revisión de requerimientos;Preparación de pruebas;Configuración de tecnologías de asistencia;Diseño de interfaz amigable/intuitiva
25-08-2025;Coordinación con equipo, Planificación de tareas;Preparación de pruebas;Configuración de entorno de desarrollo;Configuración de entorno de desarrollo;;;;;22-09-2025;Coordinación con equipo, Planificación de tareas;Preparación de pruebas;Configuración de entorno de desarrollo;Configuración de entorno de desarrollo;;;;21-10-2025;Coordinación con equipo, Planificación de tareas;Preparación de pruebas;Configuración de tecnologías de asistencia;Diseño de interfaz amigable/intuitiva
26-08-2025;Coordinación con equipo, Planificación de tareas;Preparación de pruebas;Desarrollo backend con Node.js;Desarrollo frontend con Ionic, Diseño UX/UI;;;;;23-09-2025;Coordinación con equipo, Planificación de tareas;Preparación de pruebas;Desarrollo backend con Node.js;Desarrollo frontend con Ionic, Diseño UX/UI;;;;22-10-2025;Coordinación con equipo, Planificación de tareas;Preparación de pruebas;Desarrollo backend con Node.js;Desarrollo frontend con Ionic, Diseño UX/UI
27-08-2025;Coordinación con equipo, Planificación de tareas;Preparación de pruebas;Desarrollo backend con Node.js;Desarrollo frontend con Ionic, Diseño UX/UI;;;;;24-09-2025;Coordinación con equipo, Planificación de tareas;Preparación de pruebas;Desarrollo backend con Node.js;Desarrollo frontend con Ionic, Diseño UX/UI;;;;23-10-2025;Coordinación con equipo, Planificación de tareas;Preparación de pruebas;Desarrollo backend con Node.js;Desarrollo frontend con Ionic, Diseño UX/UI
;;;;;;;;;;;;;;;;;;;;;
Semana 2 (31/08/2025 - 06/09/2025);;;;;;;;;Semana 2 (28/09/2025 - 04/10/2025);;;;;;;;Semana 2 (27/10/2025 - 02/11/2025);;;;
;;;;;;;;;;;;;;;;;;;;;
Fecha;Claudio Sánchez;;Italo Brignardello;;;;;;Fecha;Claudio Sánchez;;Italo Brignardello;;;;;Fecha;Claudio Sánchez;;Italo Brignardello;
31-08-2025;Coordinación con cliente, Revisión de requerimientos;Preparación de pruebas;Desarrollo backend con Node.js;Desarrollo frontend con Ionic, Diseño UX/UI;;;;;28-09-2025;Coordinación con cliente, Revisión de requerimientos;Preparación de pruebas;Desarrollo backend con Node.js;Desarrollo frontend con Ionic, Diseño UX/UI;;;;27-10-2025;Coordinación con cliente, Revisión de requerimientos;Ejecución de pruebas;Desarrollo backend con Node.js;Desarrollo frontend con Ionic, Diseño UX/UI
